This line is reserved for metadata
ScreenName	channel	x	y	z	eta	psi	phi	pv0_amplitude	pv0_amplitude_err	pv0_fraction	pv0_fraction_err	pv0_sigma	pv0_sigma_err	pv0_center	pv0_center_err	pv0_depth	pv0_dspac	pv0_lp	pv0_h	pv0_k	pv0_l	pv0_s1	pv0_hs2	pv0_3gamma	pv1_amplitude	pv1_amplitude_err	pv1_fraction	pv1_fraction_err	pv1_sigma	pv1_sigma_err	pv1_center	pv1_center_err	pv1_depth	pv1_dspac	pv1_lp	pv1_h	pv1_k	pv1_l	pv1_s1	pv1_hs2	pv1_3gamma	pv2_amplitude	pv2_amplitude_err	pv2_fraction	pv2_fraction_err	pv2_sigma	pv2_sigma_err	pv2_center	pv2_center_err	pv2_depth	pv2_dspac	pv2_lp	pv2_h	pv2_k	pv2_l	pv2_s1	pv2_hs2	pv2_3gamma	pv3_amplitude	pv3_amplitude_err	pv3_fraction	pv3_fraction_err	pv3_sigma	pv3_sigma_err	pv3_center	pv3_center_err	pv3_depth	pv3_dspac	pv3_lp	pv3_h	pv3_k	pv3_l	pv3_s1	pv3_hs2	pv3_3gamma	pv4_amplitude	pv4_amplitude_err	pv4_fraction	pv4_fraction_err	pv4_sigma	pv4_sigma_err	pv4_center	pv4_center_err	pv4_depth	pv4_dspac	pv4_lp	pv4_h	pv4_k	pv4_l	pv4_s1	pv4_hs2	pv4_3gamma	pv5_amplitude	pv5_amplitude_err	pv5_fraction	pv5_fraction_err	pv5_sigma	pv5_sigma_err	pv5_center	pv5_center_err	pv5_depth	pv5_dspac	pv5_lp	pv5_h	pv5_k	pv5_l	pv5_s1	pv5_hs2	pv5_3gamma	pv6_amplitude	pv6_amplitude_err	pv6_fraction	pv6_fraction_err	pv6_sigma	pv6_sigma_err	pv6_center	pv6_center_err	pv6_depth	pv6_dspac	pv6_lp	pv6_h	pv6_k	pv6_l	pv6_s1	pv6_hs2	pv6_3gamma	pv7_amplitude	pv7_amplitude_err	pv7_fraction	pv7_fraction_err	pv7_sigma	pv7_sigma_err	pv7_center	pv7_center_err	pv7_depth	pv7_dspac	pv7_lp	pv7_h	pv7_k	pv7_l	pv7_s1	pv7_hs2	pv7_3gamma	pv8_amplitude	pv8_amplitude_err	pv8_fraction	pv8_fraction_err	pv8_sigma	pv8_sigma_err	pv8_center	pv8_center_err	pv8_depth	pv8_dspac	pv8_lp	pv8_h	pv8_k	pv8_l	pv8_s1	pv8_hs2	pv8_3gamma	pv9_amplitude	pv9_amplitude_err	pv9_fraction	pv9_fraction_err	pv9_sigma	pv9_sigma_err	pv9_center	pv9_center_err	pv9_depth	pv9_dspac	pv9_lp	pv9_h	pv9_k	pv9_l	pv9_s1	pv9_hs2	pv9_3gamma	
'1-20191210_192009_Se_8kcps_10s.csv:00'	0	0	0	0	0	0	270	468.7655	4.8684	0.25348	0.030049	0.18219	0.001276	23.2067	0.0042916	4.9317	2.0466	2.8943	1	1	0	-1.2321e-06	5.6882e-06	0.75	827.7681	4.8207	0.20092	0.017181	0.1851	0.00071182	32.7947	-0.0048995	13.1183	1.4482	2.8964	2	0	0	-1.8563e-06	7.5608e-06	0	305.5921	6.2775	0.039293	0.061485	0.27569	0.0031367	40.2058	0.0019662	23.2437	1.1813	2.8935	2	1	1	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	46.4389	0.0082591	34.5979	1.0227	2.8927	2	2	0	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	51.8972	-0.0051497	46.9157	0.91516	2.894	3	1	0	-1.6316e-06	6.8867e-06	0.27	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	56.8902	0.0068139	59.8041	0.83484	2.892	2	2	2	-1.024e-06	5.064e-06	1	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	61.4292	-0.0065897	73.0482	0.77315	2.8929	3	2	1	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	65.6486	-0.006451	86.04	0.72346	2.8938	4	0	0	-1.8563e-06	7.5608e-06	0	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	69.6702	0.0040859	99.4046	0.6817	2.8922	3	3	0	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	73.4245	-0.0020218	113.1095	0.64684	2.8928	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'2-20191210_192127_Se_21kcps_10s.csv:00'	0	0	0	0	0	1	270	1544.0933	10.6753	0.21728	0.020165	0.18702	0.00084272	23.2109	0.0085212	4.9309	2.0462	2.8938	1	1	0	-1.2321e-06	5.6882e-06	0.75	2826.4735	10.405	0.26044	0.010689	0.18597	0.00047101	32.8024	0.002793	13.1163	1.4479	2.8958	2	0	0	-1.8563e-06	7.5608e-06	0	1055.8755	13.3695	0.1779	0.036551	0.27292	0.0021102	40.2087	0.0048583	23.2402	1.1812	2.8933	2	1	1	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	46.426	-0.0046992	34.5926	1.023	2.8935	2	2	0	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	51.8991	-0.0033045	46.9085	0.91512	2.8939	3	1	0	-1.6316e-06	6.8867e-06	0.27	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	56.8939	0.010468	59.795	0.83478	2.8918	2	2	2	-1.024e-06	5.064e-06	1	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	61.439	0.0030814	73.0371	0.77303	2.8924	3	2	1	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	65.6477	-0.0075146	86.0269	0.72347	2.8939	4	0	0	-1.8563e-06	7.5608e-06	0	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	69.6587	-0.0075233	99.3895	0.68181	2.8927	3	3	0	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	73.4181	-0.0085076	113.0923	0.6469	2.893	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'3-20191210_192353_Se_210kcps_10s.csv:00'	0	0	0	0	0	2	270	18137.8686	158.7095	0.28989	0.024549	0.22798	0.0012676	23.2012	-0.0012755	4.9286	2.047	2.895	1	1	0	-1.2321e-06	5.6882e-06	0.75	34168.5762	154.1501	0.41416	0.012329	0.22749	0.0007399	32.813	0.013257	13.1103	1.4474	2.8948	2	0	0	-1.8563e-06	7.5608e-06	0	12399.4689	184.4868	0.24419	0.041806	0.31033	0.0028383	40.1948	-0.0091784	23.2296	1.1816	2.8943	2	1	1	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	46.4315	0.00070019	34.5768	1.0229	2.8931	2	2	0	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	51.9121	0.0095872	46.8871	0.91489	2.8931	3	1	0	-1.6316e-06	6.8867e-06	0.27	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	56.8884	0.0048759	59.7677	0.83486	2.892	2	2	2	-1.024e-06	5.064e-06	1	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	61.447	0.010943	73.0037	0.77293	2.892	3	2	1	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	65.6467	-0.00874	85.9875	0.72348	2.8939	4	0	0	-1.8563e-06	7.5608e-06	0	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	69.666	-0.00038302	99.344	0.68174	2.8924	3	3	0	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	73.4235	-0.0033603	113.0406	0.64685	2.8928	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'4-20191210_192511_Se_356kcps_10s.csv:00'	0	0	0	0	0	3	270	30385.2813	309.4975	0.2759	0.028243	0.2522	0.0015343	23.2	-0.0026481	4.9249	2.0472	2.8951	1	1	0	-1.2321e-06	5.6882e-06	0.75	58283.653	299.441	0.44454	0.013678	0.25157	0.00091109	32.8065	0.0064532	13.1003	1.4477	2.8954	2	0	0	-1.8563e-06	7.5608e-06	0	21271.2174	339.794	0.30894	0.043836	0.32682	0.0032961	40.2012	-0.0029595	23.2119	1.1814	2.8938	2	1	1	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	46.4325	0.0014262	34.5505	1.0229	2.8931	2	2	0	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	51.9089	0.0060159	46.8514	0.91495	2.8933	3	1	0	-1.6316e-06	6.8867e-06	0.27	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	56.8864	0.0026326	59.7221	0.83489	2.8922	2	2	2	-1.024e-06	5.064e-06	1	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	61.4434	0.0070659	72.9481	0.77297	2.8922	3	2	1	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	65.6527	-0.0031152	85.922	0.72341	2.8937	4	0	0	-1.8563e-06	7.5608e-06	0	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	69.6713	0.0045847	99.2684	0.68169	2.8922	3	3	0	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	73.4197	-0.0075576	112.9545	0.64688	2.893	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'5-20191210_192620_Se_493kcps_10s.csv:00'	0	0	0	0	0	4	270	41383.0627	442.0952	0.29729	0.029241	0.26273	0.0016695	23.2054	0.0025778	4.9196	2.0467	2.8944	1	1	0	-1.2321e-06	5.6882e-06	0.75	80316.5008	426.3189	0.49453	0.013825	0.26165	0.001004	32.8025	0.0020816	13.0863	1.4479	2.8958	2	0	0	-1.8563e-06	7.5608e-06	0	29193.3928	475.1814	0.34645	0.044088	0.33491	0.0035113	40.2025	-0.0020016	23.1871	1.1814	2.8938	2	1	1	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	46.4344	0.0030479	34.5136	1.0228	2.893	2	2	0	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	51.8914	-0.011846	46.8014	0.91526	2.8943	3	1	0	-1.6316e-06	6.8867e-06	0.27	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	56.8933	0.0091598	59.6584	0.83479	2.8918	2	2	2	-1.024e-06	5.064e-06	1	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	61.432	-0.0046888	72.8703	0.77311	2.8927	3	2	1	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	65.6585	0.0021482	85.8304	0.72335	2.8934	4	0	0	-1.8563e-06	7.5608e-06	0	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	69.6702	0.0030622	99.1624	0.6817	2.8922	3	3	0	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	73.4196	-0.0081521	112.834	0.64688	2.893	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'6-20191210_192816_Se_689kcps_10s.csv:00'	0	0	0	0	0	5	270	57669.5169	458.4854	0.40129	0.020989	0.26994	0.0013693	23.2007	-0.0023673	4.9129	2.0471	2.895	1	1	0	-1.2321e-06	5.6882e-06	0.75	109914.6855	443.9193	0.53961	0.010323	0.26984	0.0008088	32.7926	-0.0082384	13.0684	1.4483	2.8966	2	0	0	-1.8563e-06	7.5608e-06	0	40014.5744	493.698	0.38736	0.032915	0.3455	0.0028018	40.2087	0.0038905	23.1553	1.1812	2.8933	2	1	1	-1.2321e-06	5.6882e-06	0.75	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	46.4322	0.00039189	34.4662	1.0229	2.8931	2	2	0	-1.2321e-06	5.6882e-06	0.75	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	51.9099	0.0060681	46.7372	0.91493	2.8933	3	1	0	-1.6316e-06	6.8867e-06	0.27	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	56.8796	-0.0049556	59.5765	0.83499	2.8925	2	2	2	-1.024e-06	5.064e-06	1	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	61.4417	0.0044721	72.7703	0.77299	2.8923	3	2	1	-1.2321e-06	5.6882e-06	0.75	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	65.6583	0.0012523	85.7126	0.72335	2.8934	4	0	0	-1.8563e-06	7.5608e-06	0	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	69.6669	-0.00076966	99.0263	0.68173	2.8923	3	3	0	-1.2321e-06	5.6882e-06	0.75	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	73.434	0.0055899	112.6791	0.64676	2.8924	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'7-20191210_192948_Se_849kcps_10s.csv:00'	0	0	0	0	0	6	270	70527.0447	402.9836	0.47629	0.014659	0.27721	0.0010625	23.1957	-0.0076139	4.9046	2.0475	2.8956	1	1	0	-1.2321e-06	5.6882e-06	0.75	132014.7856	391.6466	0.56727	0.0074718	0.27813	0.00061876	32.7986	-0.0027783	13.0464	1.4481	2.8961	2	0	0	-1.8563e-06	7.5608e-06	0	48273.8796	430.7122	0.43127	0.023438	0.35348	0.0021303	40.2033	-0.0020288	23.1164	1.1813	2.8937	2	1	1	-1.2321e-06	5.6882e-06	0.75	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	46.4279	-0.0044566	34.4084	1.023	2.8934	2	2	0	-1.2321e-06	5.6882e-06	0.75	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	51.902	-0.0024853	46.6587	0.91507	2.8937	3	1	0	-1.6316e-06	6.8867e-06	0.27	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	56.8964	0.011372	59.4765	0.83474	2.8916	2	2	2	-1.024e-06	5.064e-06	1	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	61.4407	0.0028163	72.6481	0.77301	2.8923	3	2	1	-1.2321e-06	5.6882e-06	0.75	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	65.6593	0.0013359	85.5686	0.72334	2.8934	4	0	0	-1.8563e-06	7.5608e-06	0	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	69.6694	0.00096821	98.86	0.68171	2.8922	3	3	0	-1.2321e-06	5.6882e-06	0.75	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	73.4279	-0.0013132	112.4899	0.64681	2.8926	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'8-20191210_193122_Se_1035kcps_10s.csv:00'	0	0	0	0	0	7	270	84266.0011	323.2998	0.54779	0.0095439	0.28743	0.00077368	23.2043	0.00054087	4.8949	2.0468	2.8946	1	1	0	-1.2321e-06	5.6882e-06	0.75	156649.7294	314.8551	0.61662	0.0049412	0.28914	0.00044782	32.8054	0.003437	13.0205	1.4477	2.8955	2	0	0	-1.8563e-06	7.5608e-06	0	57048.7915	342.0746	0.48008	0.015457	0.364	0.0015155	40.2052	-0.00065806	23.0705	1.1813	2.8936	2	1	1	-1.2321e-06	5.6882e-06	0.75	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	46.4255	-0.0074061	34.34	1.023	2.8935	2	2	0	-1.2321e-06	5.6882e-06	0.75	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	51.9084	0.0031477	46.566	0.91496	2.8934	3	1	0	-1.6316e-06	6.8867e-06	0.27	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	56.8784	-0.0072882	59.3583	0.83501	2.8926	2	2	2	-1.024e-06	5.064e-06	1	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	61.4399	0.0012985	72.5037	0.77302	2.8924	3	2	1	-1.2321e-06	5.6882e-06	0.75	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	65.6626	0.0036252	85.3986	0.7233	2.8932	4	0	0	-1.8563e-06	7.5608e-06	0	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	69.6669	-0.0023781	98.6636	0.68173	2.8923	3	3	0	-1.2321e-06	5.6882e-06	0.75	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	73.4325	0.0023544	112.2664	0.64677	2.8924	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'9-20191210_193429_Se_1413kcps_10s.csv:00'	0	0	0	0	0	8	270	105417.3971	432.7086	0.69679	0.0093998	0.32246	0.001005	23.2128	0.0086857	4.8837	2.046	2.8935	1	1	0	-1.2321e-06	5.6882e-06	0.75	197548.5699	422.1666	0.76167	0.00484	0.32562	0.0005826	32.8032	0.00056108	12.9906	1.4478	2.8957	2	0	0	-1.8563e-06	7.5608e-06	0	70596.2743	445.3088	0.60184	0.015345	0.40106	0.0018617	40.2058	-0.0006288	23.0175	1.1813	2.8935	2	1	1	-1.2321e-06	5.6882e-06	0.75	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	46.4398	0.0062044	34.2612	1.0227	2.8926	2	2	0	-1.2321e-06	5.6882e-06	0.75	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	51.9031	-0.003015	46.4591	0.91505	2.8936	3	1	0	-1.6316e-06	6.8867e-06	0.27	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	56.8947	0.0083079	59.2221	0.83477	2.8917	2	2	2	-1.024e-06	5.064e-06	1	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	61.4489	0.0094949	72.3373	0.7729	2.8919	3	2	1	-1.2321e-06	5.6882e-06	0.75	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	65.6613	0.0011156	85.2026	0.72332	2.8933	4	0	0	-1.8563e-06	7.5608e-06	0	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	69.6732	0.0030434	98.4372	0.68167	2.8921	3	3	0	-1.2321e-06	5.6882e-06	0.75	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	73.4263	-0.0050101	112.0087	0.64683	2.8927	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'1-20191210_192009_Se_8kcps_10s.csv:00'	0	0	0	0	0	9	270	468.7655	4.8684	0.25348	0.030049	0.18219	0.001276	23.2042	-0.00041258	4.8709	2.0468	2.8946	1	1	0	-1.2321e-06	5.6882e-06	0.75	827.7681	4.8207	0.20092	0.017181	0.1851	0.00071182	32.8122	0.0086995	12.9568	1.4474	2.8949	2	0	0	-1.8563e-06	7.5608e-06	0	305.5921	6.2775	0.039293	0.061485	0.27569	0.0031367	40.2087	0.0015046	22.9576	1.1812	2.8933	2	1	1	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	46.4336	-0.00073251	34.1719	1.0228	2.893	2	2	0	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	51.9165	0.0093209	46.3381	0.91482	2.8929	3	1	0	-1.6316e-06	6.8867e-06	0.27	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	56.885	-0.0021456	59.0678	0.83491	2.8922	2	2	2	-1.024e-06	5.064e-06	1	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	61.4401	-0.00030728	72.1489	0.77301	2.8924	3	2	1	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	65.6614	-0.00010762	84.9807	0.72332	2.8933	4	0	0	-1.8563e-06	7.5608e-06	0	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	69.6789	0.0076529	98.1808	0.68161	2.8918	3	3	0	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	73.4361	0.0035559	111.7169	0.64674	2.8923	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'2-20191210_192127_Se_21kcps_10s.csv:00'	0	0	0	0	0	10	270	1544.0933	10.6753	0.21728	0.020165	0.18702	0.00084272	23.2029	-0.0021576	4.8567	2.0469	2.8947	1	1	0	-1.2321e-06	5.6882e-06	0.75	2826.4735	10.405	0.26044	0.010689	0.18597	0.00047101	32.8082	0.0037426	12.919	1.4476	2.8953	2	0	0	-1.8563e-06	7.5608e-06	0	1055.8755	13.3695	0.1779	0.036551	0.27292	0.0021102	40.2054	-0.0025	22.8906	1.1813	2.8935	2	1	1	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	46.4446	0.0093496	34.0723	1.0226	2.8923	2	2	0	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	51.897	-0.011226	46.2029	0.91516	2.894	3	1	0	-1.6316e-06	6.8867e-06	0.27	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	56.8902	0.0021	58.8955	0.83484	2.892	2	2	2	-1.024e-06	5.064e-06	1	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	61.447	0.0055566	71.9385	0.77293	2.892	3	2	1	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	65.6632	0.00017072	84.7328	0.7233	2.8932	4	0	0	-1.8563e-06	7.5608e-06	0	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	69.6665	-0.0059352	97.8944	0.68173	2.8924	3	3	0	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	73.4386	0.004676	111.3911	0.64672	2.8922	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'3-20191210_192353_Se_210kcps_10s.csv:00'	0	0	0	0	0	11	270	18137.8686	158.7095	0.28989	0.024549	0.22798	0.0012676	23.2031	-0.0025945	4.841	2.0469	2.8947	1	1	0	-1.2321e-06	5.6882e-06	0.75	34168.5762	154.1501	0.41416	0.012329	0.22749	0.0007399	32.8091	0.0037154	12.8773	1.4476	2.8952	2	0	0	-1.8563e-06	7.5608e-06	0	12399.4689	184.4868	0.24419	0.041806	0.31033	0.0028383	40.2075	-0.0012906	22.8167	1.1812	2.8934	2	1	1	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	46.4391	0.0029861	33.9622	1.0227	2.8927	2	2	0	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	51.9086	-0.00093097	46.0537	0.91495	2.8933	3	1	0	-1.6316e-06	6.8867e-06	0.27	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	56.8935	0.0044851	58.7053	0.83479	2.8918	2	2	2	-1.024e-06	5.064e-06	1	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	61.4396	-0.0030251	71.7061	0.77302	2.8924	3	2	1	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	65.6766	0.011936	84.4592	0.72315	2.8926	4	0	0	-1.8563e-06	7.5608e-06	0	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	69.6801	0.0064014	97.5782	0.6816	2.8918	3	3	0	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	73.4393	0.0038614	111.0314	0.64671	2.8922	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'4-20191210_192511_Se_356kcps_10s.csv:00'	0	0	0	0	0	12	270	30385.2813	309.4975	0.2759	0.028243	0.2522	0.0015343	23.2031	-0.0032292	4.8239	2.0469	2.8947	1	1	0	-1.2321e-06	5.6882e-06	0.75	58283.653	299.441	0.44454	0.013678	0.25157	0.00091109	32.8104	0.0038867	12.8316	1.4475	2.8951	2	0	0	-1.8563e-06	7.5608e-06	0	21271.2174	339.794	0.30894	0.043836	0.32682	0.0032961	40.2081	-0.0016244	22.7358	1.1812	2.8933	2	1	1	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	46.4459	0.0087567	33.8419	1.0226	2.8923	2	2	0	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	51.9146	0.0037254	45.8905	0.91485	2.893	3	1	0	-1.6316e-06	6.8867e-06	0.27	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	56.8971	0.0069583	58.4972	0.83474	2.8916	2	2	2	-1.024e-06	5.064e-06	1	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	61.443	-0.00088365	71.452	0.77298	2.8922	3	2	1	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	65.6641	-0.0023832	84.1598	0.72329	2.8931	4	0	0	-1.8563e-06	7.5608e-06	0	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	69.6765	0.0013026	97.2324	0.68164	2.8919	3	3	0	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	73.435	-0.0021704	110.6378	0.64675	2.8923	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'5-20191210_192620_Se_493kcps_10s.csv:00'	0	0	0	0	0	13	270	41383.0627	442.0952	0.29729	0.029241	0.26273	0.0016695	23.2034	-0.0035647	4.8053	2.0469	2.8947	1	1	0	-1.2321e-06	5.6882e-06	0.75	80316.5008	426.3189	0.49453	0.013825	0.26165	0.001004	32.8143	0.0066312	12.7821	1.4474	2.8947	2	0	0	-1.8563e-06	7.5608e-06	0	29193.3928	475.1814	0.34645	0.044088	0.33491	0.0035113	40.2057	-0.0050073	22.648	1.1813	2.8935	2	1	1	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	46.4395	0.0011866	33.7112	1.0227	2.8927	2	2	0	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	51.9206	0.0082245	45.7132	0.91474	2.8927	3	1	0	-1.6316e-06	6.8867e-06	0.27	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	56.8856	-0.0056863	58.2713	0.8349	2.8922	2	2	2	-1.024e-06	5.064e-06	1	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	61.4511	0.0058159	71.176	0.77287	2.8918	3	2	1	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	65.668	-0.00045973	83.8348	0.72324	2.893	4	0	0	-1.8563e-06	7.5608e-06	0	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	69.672	-0.0046778	96.8569	0.68168	2.8921	3	3	0	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	73.433	-0.0059216	110.2105	0.64677	2.8924	4	2	0	-1.4568e-06	6.3624e-06	0.48	
