This line is reserved for metadata
ScreenName	channel	x	y	z	eta	psi	phi	pv0_amplitude	pv0_amplitude_err	pv0_fraction	pv0_fraction_err	pv0_sigma	pv0_sigma_err	pv0_center	pv0_center_err	pv0_depth	pv0_dspac	pv0_lp	pv0_h	pv0_k	pv0_l	pv0_s1	pv0_hs2	pv0_3gamma	pv1_amplitude	pv1_amplitude_err	pv1_fraction	pv1_fraction_err	pv1_sigma	pv1_sigma_err	pv1_center	pv1_center_err	pv1_depth	pv1_dspac	pv1_lp	pv1_h	pv1_k	pv1_l	pv1_s1	pv1_hs2	pv1_3gamma	pv2_amplitude	pv2_amplitude_err	pv2_fraction	pv2_fraction_err	pv2_sigma	pv2_sigma_err	pv2_center	pv2_center_err	pv2_depth	pv2_dspac	pv2_lp	pv2_h	pv2_k	pv2_l	pv2_s1	pv2_hs2	pv2_3gamma	pv3_amplitude	pv3_amplitude_err	pv3_fraction	pv3_fraction_err	pv3_sigma	pv3_sigma_err	pv3_center	pv3_center_err	pv3_depth	pv3_dspac	pv3_lp	pv3_h	pv3_k	pv3_l	pv3_s1	pv3_hs2	pv3_3gamma	pv4_amplitude	pv4_amplitude_err	pv4_fraction	pv4_fraction_err	pv4_sigma	pv4_sigma_err	pv4_center	pv4_center_err	pv4_depth	pv4_dspac	pv4_lp	pv4_h	pv4_k	pv4_l	pv4_s1	pv4_hs2	pv4_3gamma	pv5_amplitude	pv5_amplitude_err	pv5_fraction	pv5_fraction_err	pv5_sigma	pv5_sigma_err	pv5_center	pv5_center_err	pv5_depth	pv5_dspac	pv5_lp	pv5_h	pv5_k	pv5_l	pv5_s1	pv5_hs2	pv5_3gamma	pv6_amplitude	pv6_amplitude_err	pv6_fraction	pv6_fraction_err	pv6_sigma	pv6_sigma_err	pv6_center	pv6_center_err	pv6_depth	pv6_dspac	pv6_lp	pv6_h	pv6_k	pv6_l	pv6_s1	pv6_hs2	pv6_3gamma	pv7_amplitude	pv7_amplitude_err	pv7_fraction	pv7_fraction_err	pv7_sigma	pv7_sigma_err	pv7_center	pv7_center_err	pv7_depth	pv7_dspac	pv7_lp	pv7_h	pv7_k	pv7_l	pv7_s1	pv7_hs2	pv7_3gamma	pv8_amplitude	pv8_amplitude_err	pv8_fraction	pv8_fraction_err	pv8_sigma	pv8_sigma_err	pv8_center	pv8_center_err	pv8_depth	pv8_dspac	pv8_lp	pv8_h	pv8_k	pv8_l	pv8_s1	pv8_hs2	pv8_3gamma	pv9_amplitude	pv9_amplitude_err	pv9_fraction	pv9_fraction_err	pv9_sigma	pv9_sigma_err	pv9_center	pv9_center_err	pv9_depth	pv9_dspac	pv9_lp	pv9_h	pv9_k	pv9_l	pv9_s1	pv9_hs2	pv9_3gamma	
'1-20191210_192009_Se_8kcps_10s.csv:00'	0	0	0	0	0	0	90	468.7655	4.8684	0.25348	0.030049	0.18219	0.001276	23.1909	-0.011453	4.9317	2.048	2.8962	1	1	0	-1.2321e-06	5.6882e-06	0.75	827.7681	4.8207	0.20092	0.017181	0.1851	0.00071182	32.8013	0.0017354	13.1183	1.4479	2.8959	2	0	0	-1.8563e-06	7.5608e-06	0	305.5921	6.2775	0.039293	0.061485	0.27569	0.0031367	40.2061	0.0022516	23.2437	1.1813	2.8935	2	1	1	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	46.4288	-0.0018901	34.5979	1.0229	2.8933	2	2	0	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	51.9055	0.0031744	46.9157	0.91501	2.8935	3	1	0	-1.6316e-06	6.8867e-06	0.27	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	56.8849	0.0015836	59.8041	0.83491	2.8922	2	2	2	-1.024e-06	5.064e-06	1	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	61.4289	-0.0069328	73.0482	0.77315	2.8929	3	2	1	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	65.6489	-0.0061424	86.04	0.72345	2.8938	4	0	0	-1.8563e-06	7.5608e-06	0	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	69.672	0.0058864	99.4046	0.68168	2.8921	3	3	0	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	73.4289	0.0022907	113.1095	0.6468	2.8926	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'2-20191210_192127_Se_21kcps_10s.csv:00'	0	0	0	0	0	1	90	1544.0933	10.6753	0.21728	0.020165	0.18702	0.00084272	23.2008	-0.0015906	4.9309	2.0471	2.895	1	1	0	-1.2321e-06	5.6882e-06	0.75	2826.4735	10.405	0.26044	0.010689	0.18597	0.00047101	32.7944	-0.0052294	13.1163	1.4482	2.8965	2	0	0	-1.8563e-06	7.5608e-06	0	1055.8755	13.3695	0.1779	0.036551	0.27292	0.0021102	40.2052	0.0012935	23.2402	1.1813	2.8936	2	1	1	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	46.4319	0.0012279	34.5926	1.0229	2.8931	2	2	0	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	51.8931	-0.0092606	46.9085	0.91523	2.8942	3	1	0	-1.6316e-06	6.8867e-06	0.27	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	56.8881	0.004715	59.795	0.83487	2.8921	2	2	2	-1.024e-06	5.064e-06	1	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	61.4362	0.00030553	73.0371	0.77306	2.8925	3	2	1	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	65.6568	0.0016721	86.0269	0.72337	2.8935	4	0	0	-1.8563e-06	7.5608e-06	0	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	69.6596	-0.0066046	99.3895	0.6818	2.8926	3	3	0	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	73.4349	0.0082362	113.0923	0.64675	2.8924	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'3-20191210_192353_Se_210kcps_10s.csv:00'	0	0	0	0	0	2	90	18137.8686	158.7095	0.28989	0.024549	0.22798	0.0012676	23.2067	0.0041797	4.9286	2.0466	2.8943	1	1	0	-1.2321e-06	5.6882e-06	0.75	34168.5762	154.1501	0.41416	0.012329	0.22749	0.0007399	32.7957	-0.00413	13.1103	1.4482	2.8964	2	0	0	-1.8563e-06	7.5608e-06	0	12399.4689	184.4868	0.24419	0.041806	0.31033	0.0028383	40.203	-0.0010204	23.2296	1.1814	2.8937	2	1	1	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	46.4278	-0.0030807	34.5768	1.023	2.8934	2	2	0	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	51.9046	0.0020813	46.8871	0.91502	2.8936	3	1	0	-1.6316e-06	6.8867e-06	0.27	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	56.8876	0.0040359	59.7677	0.83487	2.8921	2	2	2	-1.024e-06	5.064e-06	1	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	61.4379	0.0018428	73.0037	0.77304	2.8925	3	2	1	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	65.6578	0.0023658	85.9875	0.72336	2.8934	4	0	0	-1.8563e-06	7.5608e-06	0	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	69.6691	0.0026791	99.344	0.68171	2.8922	3	3	0	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	73.4215	-0.0054027	113.0406	0.64687	2.8929	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'4-20191210_192511_Se_356kcps_10s.csv:00'	0	0	0	0	0	3	90	30385.2813	309.4975	0.2759	0.028243	0.2522	0.0015343	23.2062	0.0035642	4.9249	2.0466	2.8943	1	1	0	-1.2321e-06	5.6882e-06	0.75	58283.653	299.441	0.44454	0.013678	0.25157	0.00091109	32.7957	-0.0043588	13.1003	1.4482	2.8964	2	0	0	-1.8563e-06	7.5608e-06	0	21271.2174	339.794	0.30894	0.043836	0.32682	0.0032961	40.2073	0.0030768	23.2119	1.1812	2.8934	2	1	1	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	46.4256	-0.0054718	34.5505	1.023	2.8935	2	2	0	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	51.9083	0.0054996	46.8514	0.91496	2.8934	3	1	0	-1.6316e-06	6.8867e-06	0.27	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	56.8859	0.0021009	59.7221	0.8349	2.8922	2	2	2	-1.024e-06	5.064e-06	1	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	61.4403	0.0039624	72.9481	0.77301	2.8923	3	2	1	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	65.6524	-0.0033752	85.922	0.72342	2.8937	4	0	0	-1.8563e-06	7.5608e-06	0	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	69.6706	0.0039236	99.2684	0.68169	2.8922	3	3	0	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	73.4235	-0.0037628	112.9545	0.64685	2.8928	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'5-20191210_192620_Se_493kcps_10s.csv:00'	0	0	0	0	0	4	90	41383.0627	442.0952	0.29729	0.029241	0.26273	0.0016695	23.2009	-0.0018655	4.9196	2.0471	2.895	1	1	0	-1.2321e-06	5.6882e-06	0.75	80316.5008	426.3189	0.49453	0.013825	0.26165	0.001004	32.799	-0.0013534	13.0863	1.448	2.8961	2	0	0	-1.8563e-06	7.5608e-06	0	29193.3928	475.1814	0.34645	0.044088	0.33491	0.0035113	40.207	0.0025562	23.1871	1.1812	2.8934	2	1	1	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	46.4378	0.0063987	34.5136	1.0227	2.8928	2	2	0	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	51.9021	-0.0011707	46.8014	0.91507	2.8937	3	1	0	-1.6316e-06	6.8867e-06	0.27	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	56.8831	-0.0010329	59.6584	0.83494	2.8923	2	2	2	-1.024e-06	5.064e-06	1	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	61.4383	0.0015417	72.8703	0.77304	2.8924	3	2	1	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	65.653	-0.0033638	85.8304	0.72341	2.8936	4	0	0	-1.8563e-06	7.5608e-06	0	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	69.6744	0.007275	99.1624	0.68166	2.892	3	3	0	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	73.433	0.0052727	112.834	0.64677	2.8924	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'6-20191210_192816_Se_689kcps_10s.csv:00'	0	0	0	0	0	5	90	57669.5169	458.4854	0.40129	0.020989	0.26994	0.0013693	23.2078	0.0047118	4.9129	2.0465	2.8941	1	1	0	-1.2321e-06	5.6882e-06	0.75	109914.6855	443.9193	0.53961	0.010323	0.26984	0.0008088	32.7985	-0.0023189	13.0684	1.4481	2.8961	2	0	0	-1.8563e-06	7.5608e-06	0	40014.5744	493.698	0.38736	0.032915	0.3455	0.0028018	40.1969	-0.0079211	23.1553	1.1815	2.8942	2	1	1	-1.2321e-06	5.6882e-06	0.75	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	46.4275	-0.0043232	34.4662	1.023	2.8934	2	2	0	-1.2321e-06	5.6882e-06	0.75	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	51.9059	0.0021281	46.7372	0.915	2.8935	3	1	0	-1.6316e-06	6.8867e-06	0.27	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	56.8813	-0.0031889	59.5765	0.83497	2.8924	2	2	2	-1.024e-06	5.064e-06	1	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	61.4388	0.0015544	72.7703	0.77303	2.8924	3	2	1	-1.2321e-06	5.6882e-06	0.75	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	65.6537	-0.0033735	85.7126	0.7234	2.8936	4	0	0	-1.8563e-06	7.5608e-06	0	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	69.6687	0.0010088	99.0263	0.68171	2.8923	3	3	0	-1.2321e-06	5.6882e-06	0.75	11955.5277	507.7119	0.63881	0.10168	0.31949	0.010433	73.4275	-0.00093285	112.6791	0.64681	2.8926	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'7-20191210_192948_Se_849kcps_10s.csv:00'	0	0	0	0	0	6	90	70527.0447	402.9836	0.47629	0.014659	0.27721	0.0010625	23.2053	0.0019689	4.9046	2.0467	2.8945	1	1	0	-1.2321e-06	5.6882e-06	0.75	132014.7856	391.6466	0.56727	0.0074718	0.27813	0.00061876	32.793	-0.0083331	13.0464	1.4483	2.8966	2	0	0	-1.8563e-06	7.5608e-06	0	48273.8796	430.7122	0.43127	0.023438	0.35348	0.0021303	40.2119	0.0065865	23.1164	1.1811	2.8931	2	1	1	-1.2321e-06	5.6882e-06	0.75	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	46.4313	-0.00099219	34.4084	1.0229	2.8932	2	2	0	-1.2321e-06	5.6882e-06	0.75	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	51.9064	0.0019221	46.6587	0.91499	2.8935	3	1	0	-1.6316e-06	6.8867e-06	0.27	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	56.8943	0.0092959	59.4765	0.83478	2.8917	2	2	2	-1.024e-06	5.064e-06	1	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	61.4379	5.4693e-05	72.6481	0.77304	2.8925	3	2	1	-1.2321e-06	5.6882e-06	0.75	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	65.6637	0.0057316	85.5686	0.72329	2.8932	4	0	0	-1.8563e-06	7.5608e-06	0	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	69.6668	-0.0016394	98.86	0.68173	2.8923	3	3	0	-1.2321e-06	5.6882e-06	0.75	14467.1948	442.4349	0.67617	0.072078	0.3258	0.0078774	73.4344	0.0051306	112.4899	0.64675	2.8924	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'8-20191210_193122_Se_1035kcps_10s.csv:00'	0	0	0	0	0	7	90	84266.0011	323.2998	0.54779	0.0095439	0.28743	0.00077368	23.206	0.0023263	4.8949	2.0466	2.8944	1	1	0	-1.2321e-06	5.6882e-06	0.75	156649.7294	314.8551	0.61662	0.0049412	0.28914	0.00044782	32.802	4.3398e-05	13.0205	1.4479	2.8958	2	0	0	-1.8563e-06	7.5608e-06	0	57048.7915	342.0746	0.48008	0.015457	0.364	0.0015155	40.2044	-0.0014215	23.0705	1.1813	2.8936	2	1	1	-1.2321e-06	5.6882e-06	0.75	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	46.4357	0.0027692	34.34	1.0228	2.8929	2	2	0	-1.2321e-06	5.6882e-06	0.75	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	51.9006	-0.0046848	46.566	0.9151	2.8938	3	1	0	-1.6316e-06	6.8867e-06	0.27	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	56.8811	-0.0045746	59.3583	0.83497	2.8924	2	2	2	-1.024e-06	5.064e-06	1	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	61.4435	0.0049024	72.5037	0.77297	2.8922	3	2	1	-1.2321e-06	5.6882e-06	0.75	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	65.6623	0.0032905	85.3986	0.72331	2.8932	4	0	0	-1.8563e-06	7.5608e-06	0	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	69.6721	0.0028377	98.6636	0.68168	2.8921	3	3	0	-1.2321e-06	5.6882e-06	0.75	17286.4405	355.0623	0.7285	0.047208	0.33886	0.0056967	73.4282	-0.0019463	112.2664	0.64681	2.8926	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'9-20191210_193429_Se_1413kcps_10s.csv:00'	0	0	0	0	0	8	90	105417.3971	432.7086	0.69679	0.0093998	0.32246	0.001005	23.2042	5.3431e-05	4.8837	2.0468	2.8946	1	1	0	-1.2321e-06	5.6882e-06	0.75	197548.5699	422.1666	0.76167	0.00484	0.32562	0.0005826	32.7954	-0.0073141	12.9906	1.4482	2.8964	2	0	0	-1.8563e-06	7.5608e-06	0	70596.2743	445.3088	0.60184	0.015345	0.40106	0.0018617	40.1999	-0.0065246	23.0175	1.1814	2.8939	2	1	1	-1.2321e-06	5.6882e-06	0.75	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	46.4357	0.0020725	34.2612	1.0228	2.8929	2	2	0	-1.2321e-06	5.6882e-06	0.75	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	51.9008	-0.0053655	46.4591	0.91509	2.8938	3	1	0	-1.6316e-06	6.8867e-06	0.27	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	56.8871	0.00068357	59.2221	0.83488	2.8921	2	2	2	-1.024e-06	5.064e-06	1	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	61.4317	-0.0077909	72.3373	0.77312	2.8927	3	2	1	-1.2321e-06	5.6882e-06	0.75	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	65.658	-0.0022322	85.2026	0.72335	2.8934	4	0	0	-1.8563e-06	7.5608e-06	0	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	69.6655	-0.0046935	98.4372	0.68174	2.8924	3	3	0	-1.2321e-06	5.6882e-06	0.75	21562.6955	483.6799	0.78674	0.048847	0.38798	0.0070119	73.4341	0.0027816	112.0087	0.64676	2.8924	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'1-20191210_192009_Se_8kcps_10s.csv:00'	0	0	0	0	0	9	90	468.7655	4.8684	0.25348	0.030049	0.18219	0.001276	23.2046	4.6995e-05	4.8709	2.0467	2.8945	1	1	0	-1.2321e-06	5.6882e-06	0.75	827.7681	4.8207	0.20092	0.017181	0.1851	0.00071182	32.8049	0.0013617	12.9568	1.4478	2.8955	2	0	0	-1.8563e-06	7.5608e-06	0	305.5921	6.2775	0.039293	0.061485	0.27569	0.0031367	40.2014	-0.0057302	22.9576	1.1814	2.8938	2	1	1	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	46.4284	-0.0059416	34.1719	1.023	2.8933	2	2	0	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	51.9009	-0.006289	46.3381	0.91509	2.8938	3	1	0	-1.6316e-06	6.8867e-06	0.27	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	56.8925	0.0053542	59.0678	0.8348	2.8918	2	2	2	-1.024e-06	5.064e-06	1	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	61.4434	0.0030149	72.1489	0.77297	2.8922	3	2	1	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	65.6625	0.00093921	84.9807	0.7233	2.8932	4	0	0	-1.8563e-06	7.5608e-06	0	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	69.6673	-0.0039444	98.1808	0.68173	2.8923	3	3	0	-1.2321e-06	5.6882e-06	0.75	92.3811	5.3656	0.60187	0.14941	0.20499	0.010358	73.4272	-0.0053786	111.7169	0.64682	2.8927	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'2-20191210_192127_Se_21kcps_10s.csv:00'	0	0	0	0	0	10	90	1544.0933	10.6753	0.21728	0.020165	0.18702	0.00084272	23.2101	0.0049565	4.8567	2.0463	2.8939	1	1	0	-1.2321e-06	5.6882e-06	0.75	2826.4735	10.405	0.26044	0.010689	0.18597	0.00047101	32.8069	0.0024838	12.919	1.4477	2.8954	2	0	0	-1.8563e-06	7.5608e-06	0	1055.8755	13.3695	0.1779	0.036551	0.27292	0.0021102	40.2024	-0.0054896	22.8906	1.1814	2.8938	2	1	1	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	46.4434	0.0082429	34.0723	1.0226	2.8924	2	2	0	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	51.8995	-0.0088203	46.2029	0.91512	2.8938	3	1	0	-1.6316e-06	6.8867e-06	0.27	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	56.8897	0.0016274	58.8955	0.83484	2.892	2	2	2	-1.024e-06	5.064e-06	1	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	61.4448	0.0033744	71.9385	0.77295	2.8921	3	2	1	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	65.6638	0.00076703	84.7328	0.72329	2.8932	4	0	0	-1.8563e-06	7.5608e-06	0	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	69.6676	-0.004824	97.8944	0.68172	2.8923	3	3	0	-1.2321e-06	5.6882e-06	0.75	304.4295	12.5631	0.45202	0.10921	0.22858	0.0069399	73.4352	0.0012666	111.3911	0.64675	2.8923	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'3-20191210_192353_Se_210kcps_10s.csv:00'	0	0	0	0	0	11	90	18137.8686	158.7095	0.28989	0.024549	0.22798	0.0012676	23.2046	-0.0010592	4.841	2.0467	2.8945	1	1	0	-1.2321e-06	5.6882e-06	0.75	34168.5762	154.1501	0.41416	0.012329	0.22749	0.0007399	32.8064	0.0010098	12.8773	1.4477	2.8954	2	0	0	-1.8563e-06	7.5608e-06	0	12399.4689	184.4868	0.24419	0.041806	0.31033	0.0028383	40.2072	-0.0015752	22.8167	1.1812	2.8934	2	1	1	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	46.4387	0.0025686	33.9622	1.0227	2.8927	2	2	0	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	51.907	-0.0025075	46.0537	0.91498	2.8934	3	1	0	-1.6316e-06	6.8867e-06	0.27	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	56.8825	-0.0064965	58.7053	0.83495	2.8923	2	2	2	-1.024e-06	5.064e-06	1	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	61.4472	0.0045481	71.7061	0.77292	2.892	3	2	1	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	65.6696	0.0048836	84.4592	0.72323	2.8929	4	0	0	-1.8563e-06	7.5608e-06	0	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	69.6779	0.0041957	97.5782	0.68162	2.8919	3	3	0	-1.2321e-06	5.6882e-06	0.75	3702.506	178.8172	0.5792	0.12095	0.26956	0.010159	73.4275	-0.0080115	111.0314	0.64682	2.8926	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'4-20191210_192511_Se_356kcps_10s.csv:00'	0	0	0	0	0	12	90	30385.2813	309.4975	0.2759	0.028243	0.2522	0.0015343	23.2085	0.0022092	4.8239	2.0464	2.8941	1	1	0	-1.2321e-06	5.6882e-06	0.75	58283.653	299.441	0.44454	0.013678	0.25157	0.00091109	32.8011	-0.0054269	12.8316	1.4479	2.8959	2	0	0	-1.8563e-06	7.5608e-06	0	21271.2174	339.794	0.30894	0.043836	0.32682	0.0032961	40.2142	0.0044655	22.7358	1.181	2.8929	2	1	1	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	46.4419	0.0047288	33.8419	1.0227	2.8925	2	2	0	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	51.9159	0.0050713	45.8905	0.91482	2.8929	3	1	0	-1.6316e-06	6.8867e-06	0.27	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	56.8992	0.0090887	58.4972	0.8347	2.8915	2	2	2	-1.024e-06	5.064e-06	1	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	61.4368	-0.0071339	71.452	0.77305	2.8925	3	2	1	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	65.6684	0.0019349	84.1598	0.72324	2.893	4	0	0	-1.8563e-06	7.5608e-06	0	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	69.683	0.0078904	97.2324	0.68157	2.8917	3	3	0	-1.2321e-06	5.6882e-06	0.75	6188.7196	348.2499	0.50621	0.14168	0.30151	0.011811	73.4373	0.00015921	110.6378	0.64673	2.8923	4	2	0	-1.4568e-06	6.3624e-06	0.48	
'5-20191210_192620_Se_493kcps_10s.csv:00'	0	0	0	0	0	13	90	41383.0627	442.0952	0.29729	0.029241	0.26273	0.0016695	23.2071	0.0001365	4.8053	2.0465	2.8942	1	1	0	-1.2321e-06	5.6882e-06	0.75	80316.5008	426.3189	0.49453	0.013825	0.26165	0.001004	32.8042	-0.0035057	12.7821	1.4478	2.8956	2	0	0	-1.8563e-06	7.5608e-06	0	29193.3928	475.1814	0.34645	0.044088	0.33491	0.0035113	40.2163	0.005546	22.648	1.181	2.8928	2	1	1	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	46.4396	0.0013293	33.7112	1.0227	2.8926	2	2	0	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	51.9184	0.006059	45.7132	0.91478	2.8928	3	1	0	-1.6316e-06	6.8867e-06	0.27	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	56.8861	-0.0051617	58.2713	0.8349	2.8922	2	2	2	-1.024e-06	5.064e-06	1	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	61.4411	-0.004154	71.176	0.773	2.8923	3	2	1	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	65.6686	0.00021063	83.8348	0.72324	2.8929	4	0	0	-1.8563e-06	7.5608e-06	0	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	69.6777	0.00096875	96.8569	0.68162	2.8919	3	3	0	-1.2321e-06	5.6882e-06	0.75	8618.4323	487.1259	0.56815	0.13916	0.30881	0.012726	73.4342	-0.004744	110.2105	0.64676	2.8924	4	2	0	-1.4568e-06	6.3624e-06	0.48	
